Query,Desc,Query_cover,E_value,Perc_Identiy,Acc_Length,Accession
" Mus musculus PR domain containing 12 (Prdm12), mRNA","Scyliorhinus canicula genome assembly, contig:...",5%,8.00E-10,71.03,5220360,CACTIT0200000... 
" Mus musculus PR domain containing 12 (Prdm12), mRNA","Scyliorhinus canicula genome assembly, contig:...",5%,8.00E-10,71.03,37041,CACTIS0200181... 
" Mus musculus PR domain containing 12 (Prdm12), mRNA","Scyliorhinus canicula genome assembly, contig:...",2%,5.00E-06,80.95,153643,CACTIS0200189... 
"Mus musculus ret proto-oncogene (Ret), transcript variant 4, mRNA","Scyliorhinus canicula genome assembly, contig:...",1%,2.00E-15,74.82,323368,CACTIS0200155... 
"Mus musculus ret proto-oncogene (Ret), transcript variant 4, mRNA","Scyliorhinus canicula genome assembly, contig:...",1%,2.00E-09,71.43,116757,CACTIS0200205... 
"Mus musculus ret proto-oncogene (Ret), transcript variant 4, mRNA","Scyliorhinus canicula genome assembly, contig:...",1%,1.00E-07,75.26,181129,CACTIS0200062... 
"Mus musculus ret proto-oncogene (Ret), transcript variant 4, mRNA","Scyliorhinus canicula genome assembly, contig:...",1%,1.00E-06,75.26,176885,CACTIS0200115... 
"Mus musculus ret proto-oncogene (Ret), transcript variant 4, mRNA","Scyliorhinus canicula genome assembly, contig:...",1%,2.00E-04,71.82,211168,CACTIS0200142... 
"Mus musculus runt related transcription factor 3 (Runx3), transcript variant X1","Scyliorhinus canicula genome assembly, contig:...",7%,1.00E-33,81.13,107646,CACTIS0200197... 
"Mus musculus runt related transcription factor 3 (Runx3), transcript variant X1","Scyliorhinus canicula genome assembly, contig:...",7%,2.00E-32,80.62,173732,CACTIS0200023... 
"Mus musculus runt related transcription factor 3 (Runx3), transcript variant X1","Scyliorhinus canicula genome assembly, contig:...",7%,2.00E-25,77.36,345994,CACTIS0200049... 
"Mus musculus runt related transcription factor 3 (Runx3), transcript variant X1","Scyliorhinus canicula genome assembly, contig:...",1%,5.00E-14,96.23,263453,CACTIS0200094... 
"Mus musculus runt related transcription factor 3 (Runx3), transcript variant X1","Scyliorhinus canicula genome assembly, contig:...",1%,1.00E-09,95.56,152061,CACTIS0200173... 
"Mus musculus SRY (sex determining region Y)-box 10 (Sox10), mRNA ","Scyliorhinus canicula genome assembly, contig:...",30%,5.00E-89,70.57,320350,CACTIS0200082... 
"Mus musculus SRY (sex determining region Y)-box 10 (Sox10), mRNA ","Scyliorhinus canicula genome assembly, contig:...",26%,4.00E-65,83.47,227641,CACTIS0200042... 
"Mus musculus SRY (sex determining region Y)-box 10 (Sox10), mRNA ","Scyliorhinus canicula genome assembly, contig:...",21%,5.00E-57,80.48,87491,CACTIS0200037... 
"Mus musculus SRY (sex determining region Y)-box 10 (Sox10), mRNA ","Scyliorhinus canicula genome assembly, contig:...",8%,2.00E-17,69.83,552869,CACTIS0200094... 
"Mus musculus SRY (sex determining region Y)-box 10 (Sox10), mRNA ","Scyliorhinus canicula genome assembly, contig:...",7%,9.00E-16,69.63,367624,CACTIS0200150... 
