Query,Desc,Query_cover,E_value,Perc_Identiy,Acc_Length,Accession
"Mus musculus neurogenin 1 (Neurog1), mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_2775345, whole genome...",10%,9.00E-40,81.61,946,AESE012612271.1
"Mus musculus neurogenin 1 (Neurog1), mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_102585, whole genome shotg...",11%,2.00E-35,77.11,694,AESE010102523.1
"Mus musculus neurogenin 1 (Neurog1), mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_42318, whole genome shotgu...",10%,5.00E-31,77.35,1469,AESE010042256.1
"Mus musculus neurogenin 1 (Neurog1), mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_1613612, whole genome...  ",9%,2.00E-16,73.62,1232,AESE011493110.1
"Mus musculus neurogenin 1 (Neurog1), mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_2788535, whole genome...",4%,5.00E-12,84.51,469,AESE012625461.1
"Mus musculus neurogenin 2 (Neurog2), mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_42318, whole genome shotgu...",13%,1.00E-51,82.3,1469,AESE010042256.1
"Mus musculus neurogenin 2 (Neurog2), mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_2775345, whole genome... ",7%,5.00E-45,83.24,946,AESE012612271.1
"Mus musculus neurogenin 2 (Neurog2), mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_102585, whole genome shotg...",7%,8.00E-42,84.05,694,AESE010102523.1
"Mus musculus neurogenin 2 (Neurog2), mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_53818, whole genome shotgu...",17%,7.00E-30,69.61,2245,AESE010053756.1
"Mus musculus neurogenin 2 (Neurog2), mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_1613612, whole genome...",7%,3.00E-16,73.62,1232,AESE011493110.1
"PREDICTED: Mus musculus neurotrophic tyrosine kinase, receptor, type 1 (Ntrk1), transcript variant X1, mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_1675841, whole genome...",6%,3.00E-41,84.38,2076,AESE011555339.1
"PREDICTED: Mus musculus neurotrophic tyrosine kinase, receptor, type 1 (Ntrk1), transcript variant X1, mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_2842177, whole genome...",6%,2.00E-26,77.5,719,AESE012677631.1
"PREDICTED: Mus musculus neurotrophic tyrosine kinase, receptor, type 1 (Ntrk1), transcript variant X1, mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_1599474, whole genome...",9%,2.00E-19,70.52,3430,AESE011478972.1
"PREDICTED: Mus musculus neurotrophic tyrosine kinase, receptor, type 1 (Ntrk1), transcript variant X1, mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_1612840, whole genome...",6%,2.00E-18,74.25,5661,AESE011492338.1
"PREDICTED: Mus musculus neurotrophic tyrosine kinase, receptor, type 1 (Ntrk1), transcript variant X1, mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_467865, whole genome shotg...",6%,3.00E-17,71.91,414,AESE010465508.1
"PREDICTED: Mus musculus neurotrophic tyrosine kinase, receptor, type 2 (Ntrk2), transcript variant X4, mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_2814693, whole genome...",0%,7.00E-07,74.78,410,AESE012651070.1
"PREDICTED: Mus musculus neurotrophic tyrosine kinase, receptor, type 2 (Ntrk2), transcript variant X4, mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_1641069, whole genome...",0%,0.004,81.97,1184,AESE011520567.1
"PREDICTED: Mus musculus neurotrophic tyrosine kinase, receptor, type 2 (Ntrk2), transcript variant X4, mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_2739000, whole genome...",0%,0.004,86.67,881,AESE012575926.1
"PREDICTED: Mus musculus neurotrophic tyrosine kinase, receptor, type 2 (Ntrk2), transcript variant X4, mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_1953268, whole genome...",0%,0.004,72.73,501,AESE011829778.1  
"PREDICTED: Mus musculus neurotrophic tyrosine kinase, receptor, type 3 (Ntrk3), transcript variant X10, mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_1626939, whole genome...",1%,3.00E-46,77.04,1029,AESE011506437.1
"PREDICTED: Mus musculus neurotrophic tyrosine kinase, receptor, type 3 (Ntrk3), transcript variant X10, mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_1675841, whole genome...",0%,8.00E-41,84.47,2076,AESE011555339.1
"PREDICTED: Mus musculus neurotrophic tyrosine kinase, receptor, type 3 (Ntrk3), transcript variant X10, mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_240851, whole genome shotg...",0%,3.00E-39,81.71,598,AESE010240785.1
"PREDICTED: Mus musculus neurotrophic tyrosine kinase, receptor, type 3 (Ntrk3), transcript variant X10, mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_1746213, whole genome...  ",0%,7.00E-35,80.59,1043,AESE011625710.1
"PREDICTED: Mus musculus neurotrophic tyrosine kinase, receptor, type 3 (Ntrk3), transcript variant X10, mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_1767802, whole genome...",0%,4.00E-32,83.94,1515,AESE011647299.1 
"PREDICTED: Mus musculus purinergic receptor P2X, ligand-gated ion channel, 3 (P2rx3), transcript variant X1, mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_2638453, whole genome...",1%,5.00E-06,76.14,295,AESE012479983.1
"PREDICTED: Mus musculus purinergic receptor P2X, ligand-gated ion channel, 3 (P2rx3), transcript variant X1, mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_221945, whole genome shotg...",0%,0.002,89.47,1482,AESE010221880.1
"Mus musculus PR domain containing 12 (Prdm12), mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_694647, whole genome shotg...",7%,1.00E-59,90.45,757,AESE010687693.1
"Mus musculus PR domain containing 12 (Prdm12), mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_1787054, whole genome...",6%,1.00E-39,83.33,496,AESE011666551.1
"Mus musculus PR domain containing 12 (Prdm12), mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_2759149, whole genome...",7%,5.00E-39,80.33,2609,AESE012596075.1
"Mus musculus PR domain containing 12 (Prdm12), mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_1813078, whole genome...",4%,8.00E-30,89.42,291,AESE011692575.1
"Mus musculus PR domain containing 12 (Prdm12), mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_3260, whole genome shotgun...",8%,9.00E-23,72.09,210,AESE010003258.1
"Mus musculus ret proto-oncogene (Ret), transcript variant 4, mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_1746327, whole genome...",2%,6.00E-50,85.47,1595,AESE011625824.1
"Mus musculus ret proto-oncogene (Ret), transcript variant 4, mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_85578, whole genome shotgu...",2%,4.00E-39,81.61,1473,AESE010085516.1
"Mus musculus ret proto-oncogene (Ret), transcript variant 4, mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_134647, whole genome shotg...",1%,2.00E-30,82.27,997,AESE010134585.1
"Mus musculus ret proto-oncogene (Ret), transcript variant 4, mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_670882, whole genome shotg...",1%,1.00E-19,78.86,678,AESE010663928.1
"Mus musculus ret proto-oncogene (Ret), transcript variant 4, mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_2887403, whole genome...",1%,4.00E-14,81.82,228,AESE012721151.1
"Mus musculus runt related transcription factor 1 (Runx1), transcript variant 3, mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_1609751, whole genome...",5%,3.00E-66,74.22,3765,AESE011489249.1
"Mus musculus runt related transcription factor 1 (Runx1), transcript variant 3, mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_230532, whole genome shotg...",3%,4.00E-58,78.65,826,AESE010230466.1
"Mus musculus runt related transcription factor 1 (Runx1), transcript variant 3, mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_2668018, whole genome...",3%,8.00E-29,71.13,1510,AESE012504944.1
"Mus musculus runt related transcription factor 1 (Runx1), transcript variant 3, mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_15104, whole genome shotgu... ",2%,8.00E-29,78.75,299,AESE010015094.1
"Mus musculus runt related transcription factor 1 (Runx1), transcript variant 3, mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_1625894, whole genome...",2%,8.00E-29,78.75,299,AESE010015094.1
"PREDICTED: Mus musculus runt related transcription factor 3 (Runx3), transcript variant X1, mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_42303, whole genome shotgu...",4%,3.00E-37,82.5,5039,AESE010042241.1
"PREDICTED: Mus musculus runt related transcription factor 3 (Runx3), transcript variant X1, mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_15104, whole genome shotgu...",4%,2.00E-32,80.5,299,AESE010015094.1
"PREDICTED: Mus musculus runt related transcription factor 3 (Runx3), transcript variant X1, mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_136671, whole genome shotg...",10%,2.00E-26,68.87,1210,AESE010136609.1
"PREDICTED: Mus musculus runt related transcription factor 3 (Runx3), transcript variant X1, mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_1609751, whole genome...",9%,7.00E-26,69.09,3765,AESE011489249.1
"PREDICTED: Mus musculus runt related transcription factor 3 (Runx3), transcript variant X1, mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_1656279, whole genome...",4%,1.00E-23,76.77,2133,AESE011535777.1
"Mus musculus SRY (sex determining region Y)-box 10 (Sox10), mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_34983, whole genome shotgu...",31%,7.00E-88,70.61,6378,AESE010034921.1
"Mus musculus SRY (sex determining region Y)-box 10 (Sox10), mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_69798, whole genome shotgu...",9%,5.00E-65,82.93,1615,AESE010069736.1
"Mus musculus SRY (sex determining region Y)-box 10 (Sox10), mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_232902, whole genome shotg...",9%,4.00E-60,80.62,398,AESE010232836.1
"Mus musculus SRY (sex determining region Y)-box 10 (Sox10), mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_28585, whole genome shotgu...",8%,5.00E-58,81.33,657,AESE010028551.1
"Mus musculus SRY (sex determining region Y)-box 10 (Sox10), mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_1604846, whole genome... ",19%,7.00E-31,73.71,2201,AESE011484344.1
