exp,dev_stage,tissue,area,x,y,perimeter
NF-594 HuC-488 20x 4,32,DRG,74.17,11.11,8.89,35.58
NF-594 HuC-488 20x 4,32,DRG,188.71,15.56,15.87,53.44
NF-594 HuC-488 20x 4,32,DRG,137.41,11.43,16.51,46.34
NF-594 HuC-488 20x 4,32,DRG,212.24,18.73,15.56,56.21
NF-594 HuC-488 20x 4,32,DRG,240.11,18.1,17.46,61
NF-594 HuC-488 20x 4,32,DRG,125.37,14.92,9.84,43.45
NF-594 HuC-488 20x 4,32,DRG,101.64,12.7,11.43,37.93
NF-594 HuC-488 20x 4,32,DRG,186.24,14.6,16.19,51.69
NF-594 HuC-488 20x 4,32,DRG,286.77,27.62,17.46,72.22
NF-594 HuC-488 20x 4,32,DRG,134.49,16.83,13.97,49.31
NF-594 HuC-488 20x 4,32,DRG,143.46,14.92,13.02,46.24
NF-594 HuC-488 20x 4,32,DRG,161.95,14.92,14.92,48.43
NF-594 HuC-488 20x 4,32,DRG,131.27,13.65,13.65,44.16
NF-594 HuC-488 20x 4,32,DRG,198.13,19.68,14.6,56.15
NF-594 HuC-488 20x 4,32,DRG,181.41,21.27,15.87,58.52
NF-594 HuC-488 20x 4,32,DRG,208.87,22.86,15.24,57.93
NF-594 HuC-488 20x 4,32,DRG,91.86,11.75,10.16,40.49
NF-594 HuC-488 20x 4,32,DRG,178.84,17.78,14.29,52.75
NF-594 HuC-488 20x 4,32,DRG,190.88,17.14,14.92,67.92
NF-594 HuC-488 20x 4,32,DRG,223.55,19.68,15.87,61.98
NF-594 HuC-488 20x 4,32,DRG,187.24,15.87,14.92,61.69
NF-594 HuC-488 20x 4,32,DRG,189.68,17.14,14.6,65.19
NF-594 HuC-488 20x 4,32,DRG,183.94,21.27,15.24,57.6
NF-594 HuC-488 20x 4,32,DRG,219.53,22.54,14.92,74.52
NF-594 HuC-488 20x 4,32,DRG,167.64,19.05,14.6,57.73
NF-594 HuC-488 20x 4,32,DRG,197.83,17.46,16.19,58.93
NF-594 HuC-488 20x 4,32,DRG,195.31,20,14.92,64.76
NF-594 HuC-488 20x 4,32,DRG,304.73,29.52,16.19,82.57
NF-594 HuC-488 20x 4,32,DRG,189.35,17.14,16.51,63.46
NF-594 HuC-488 20x 4,32,DRG,153.17,16.51,13.02,62.69
NF-594 HuC-488 20x 4,32,DRG,347.47,26.35,19.05,77.1
NF-594 HuC-488 20x 4,32,DRG,186.52,20,13.33,63.46
NF-594 HuC-488 20x 4,32,DRG,171.26,17.14,14.92,60.67
NF-594 HuC-488 20x 4,32,DRG,189.08,17.46,14.6,61.07
NF-594 HuC-488 20x 4,32,DRG,218.77,21.27,15.56,70.81
NF-594 HuC-488 20x 4,32,DRG,175.22,16.83,13.97,52.88
NF-594 HuC-488 20x 4,32,DRG,152.52,15.87,13.97,57.68
NF-594 HuC-488 20x 4,32,DRG,166.77,13.97,18.41,58.11
NF-594 HuC-488 20x 4,32,DRG,245.14,22.86,14.6,68.56
NF-594 HuC-488 20x 4,32,DRG,212.55,16.83,17.46,70.72
NF-594 HuC-488 20x 4,32,DRG,120.23,13.33,12.38,52.53
NF-594 HuC-488 20x 4,32,DRG,169.35,16.83,13.97,61.46
P2X3-594 HuC-488 20x 5,32,DRG,586.83,29.21,29.52,102.84
P2X3-594 HuC-488 20x 5,32,DRG,376.25,23.81,25.4,87.43
P2X3-594 HuC-488 20x 5,32,DRG,153.34,14.6,13.33,51.15
P2X3-594 HuC-488 20x 5,32,DRG,174.05,16.19,14.92,54.43
P2X3-594 HuC-488 20x 5,32,DRG,154.9,18.73,13.33,53.68
P2X3-594 HuC-488 20x 5,32,DRG,246.9,20.63,16.19,67.56
P2X3-594 HuC-488 20x 5,32,DRG,130.59,17.14,10.48,51.63
P2X3-594 HuC-488 20x 5,32,DRG,211.16,18.1,16.51,56.29
P2X3-594 HuC-488 20x 5,32,DRG,153.77,13.65,17.14,51.55
P2X3-594 HuC-488 20x 5,32,DRG,306.73,22.86,18.41,70.62
P2X3-594 HuC-488 20x 5,32,DRG,213.41,17.78,17.46,60.37
P2X3-594 HuC-488 20x 5,32,DRG,177.92,15.24,15.56,54.81
P2X3-594 HuC-488 20x 5,32,DRG,164.22,17.46,13.33,59.35
P2X3-594 HuC-488 20x 5,32,DRG,201.65,20,13.97,57.41
P2X3-594 HuC-488 20x 5,32,DRG,201.51,16.51,17.14,59.85
P2X3-594 HuC-488 20x 5,32,DRG,143.57,13.65,14.92,51.12
P2X3-594 HuC-488 20x 5,32,DRG,235.47,18.73,18.1,64.21
P2X3-594 HuC-488 20x 5,32,DRG,94.98,11.75,12.06,41.37
P2X3-594 HuC-488 20x 5,32,DRG,111.48,13.02,11.75,44.31
P2X3-594 HuC-488 20x 5,32,DRG,133.03,13.33,13.02,44.8
P2X3-594 HuC-488 20x 5,32,DRG,183.67,17.78,15.24,56.52
P2X3-594 HuC-488 20x 5,32,DRG,152.53,15.87,14.29,52.96
P2X3-594 HuC-488 20x 5,32,DRG,206.23,18.73,14.6,57.02
P2X3-594 HuC-488 20x 5,32,DRG,198.5,19.68,14.6,59.12
P2X3-594 HuC-488 20x 5,32,DRG,170.41,16.19,17.46,58.2
P2X3-594 HuC-488 20x 5,32,DRG,178,16.83,14.29,55.35
P2X3-594 HuC-488 20x 5,32,DRG,165.89,14.29,15.87,50.27
P2X3-594 HuC-488 20x 5,32,DRG,294.42,19.68,20,67.96
P2X3-594 HuC-488 20x 5,32,DRG,283.65,22.86,17.78,69.12
P2X3-594 HuC-488 20x 5,32,DRG,255.04,17.46,19.37,63.98
P2X3-594 HuC-488 20x 5,32,DRG,134.62,13.33,14.29,48.61
P2X3-594 HuC-488 20x 5,32,DRG,211.88,20.63,15.56,58.79
P2X3-594 HuC-488 20x 5,32,DRG,210.24,17.46,16.83,56.03
Tac1-594 HuC-488 20x 4,32,DRG,217.99,17.46,16.19,53.57
Tac1-594 HuC-488 20x 4,32,DRG,573.94,28.57,28.25,90.45
Tac1-594 HuC-488 20x 4,32,DRG,221.05,14.92,19.68,55.3
Tac1-594 HuC-488 20x 4,32,DRG,189.98,17.14,14.92,50.93
Tac1-594 HuC-488 20x 4,32,DRG,144.62,15.87,12.38,45.7
Tac1-594 HuC-488 20x 4,32,DRG,149.26,13.97,14.92,47.17
Tac1-594 HuC-488 20x 4,32,DRG,201.27,19.37,15.24,53.49
Tac1-594 HuC-488 20x 4,32,DRG,198.5,16.51,16.51,51.34
Tac1-594 HuC-488 20x 4,32,DRG,315.47,22.54,18.41,64.5
Tac1-594 HuC-488 20x 4,32,DRG,244.61,17.46,20.95,59.18
Tac1-594 HuC-488 20x 4,32,DRG,179,16.83,14.6,50.65
Tac1-594 HuC-488 20x 4,32,DRG,164.05,16.83,12.38,47.27
Tac1-594 HuC-488 20x 4,32,DRG,188.33,16.51,14.6,49.56
Tac1-594 HuC-488 20x 4,32,DRG,282.45,17.14,23.49,62.66
Tac1-594 HuC-488 20x 4,32,DRG,211.39,18.73,16.51,53.66
Tac1-594 HuC-488 20x 4,32,DRG,300.95,22.86,17.78,64.88
Tac1-594 HuC-488 20x 4,32,DRG,142.51,16.19,15.24,47.57
Tac1-594 HuC-488 20x 4,32,DRG,183.91,16.83,14.6,49.57
Tac1-594 HuC-488 20x 4,32,DRG,188.68,14.92,17.46,50.83
Tac1-594 HuC-488 20x 4,32,DRG,165.24,21.59,11.43,52.1
Tac1-594 HuC-488 20x 4,32,DRG,390.97,26.98,21.9,80.63
Tac1-594 HuC-488 20x 4,32,DRG,196.66,16.83,16.51,52.78
Tac1-594 HuC-488 20x 4,32,DRG,165.3,13.97,16.83,48.23
Tac1-594 HuC-488 20x 4,32,DRG,132.12,12.7,14.92,42.54
Tac1-594 HuC-488 20x 4,32,DRG,234.59,17.78,20,58.19
Tac1-594 HuC-488 20x 4,32,DRG,131.22,13.97,14.6,46.2
Tac1-594 HuC-488 20x 4,32,DRG,192.11,18.41,14.92,53.07
Tac1-594 HuC-488 20x 4,32,DRG,235.06,16.19,21.27,61.57
Tac1-594 HuC-488 20x 4,32,DRG,119.61,13.02,16.51,45.77
Tac1-594 HuC-488 20x 4,32,DRG,230.45,16.83,22.54,59.63
Tac1-594 HuC-488 20x 4,32,DRG,222.05,18.41,20.95,61.46
Tac1-594 HuC-488 20x 4,32,DRG,184.2,19.05,17.78,61.12
Tac1-594 HuC-488 20x 4,32,DRG,237.4,16.19,19.68,56.41
Tac1-594 HuC-488 20x 4,32,DRG,143.88,12.7,13.97,45.54
Tac1-594 HuC-488 20x 4,32,DRG,199,20.63,13.65,53.81
Tac1-594 HuC-488 20x 4,32,DRG,173.11,14.92,15.87,49.89
Tac1-594 HuC-488 20x 4,32,DRG,306.24,19.05,26.67,71.57
Tac1-594 HuC-488 20x 4,32,DRG,152.7,14.92,15.24,46.67
Tac1-594 HuC-488 20x 4,32,DRG,224.51,21.59,14.92,57.26
Tac1-594 HuC-488 20x 4,32,DRG,148.24,17.46,12.7,45.88
Tac1-594 HuC-488 20x 4,32,DRG,147.48,16.83,12.7,46.46
Tac1-594 HuC-488 20x 4,32,DRG,290.13,25.4,19.05,70.07
Tac1-594 HuC-488 20x 4,32,DRG,168.1,19.05,13.97,50.43
Tac1-594 HuC-488 20x 4,32,DRG,180.61,20,17.78,57.86
Tac1-594 HuC-488 20x 4,32,DRG,184.38,15.87,14.6,49.8
Tac1-594 HuC-488 20x 4,32,DRG,151.75,20.32,12.7,53.07
Tac1-594 HuC-488 20x 4,32,DRG,201.56,20,17.46,57.87
Tac1-594 HuC-488 20x 4,32,DRG,164.05,14.29,15.87,47.3
Tac1-594 HuC-488 20x 4,32,DRG,136.96,16.83,12.38,46.02
Tac1-594 HuC-488 20x 4,32,DRG,247.22,19.05,18.41,58.86
Tac1-594 HuC-488 20x 4,32,DRG,248.66,20.32,16.19,57.15
Tac1-594 HuC-488 20x 4,32,DRG,173.77,16.19,13.33,47.83
Tac1-594 HuC-488 20x 4,32,DRG,142.91,15.24,13.02,43.75
Tac1-594 HuC-488 20x 4,32,DRG,211.89,17.78,17.78,54.18
Tac1-594 HuC-488 20x 4,32,DRG,120.71,16.19,13.65,45.17
Tac1-594 HuC-488 20x 4,32,DRG,210.05,20,16.19,55.65
P2X3-594 Isl1-488 20x 1,32,DRG,60.44,9.21,8.57,27.99
P2X3-594 Isl1-488 20x 1,32,DRG,115.46,13.33,11.43,42.53
P2X3-594 Isl1-488 20x 1,32,DRG,99.01,13.65,10.16,37.81
P2X3-594 Isl1-488 20x 1,32,DRG,46.19,9.84,6.03,25.91
P2X3-594 Isl1-488 20x 1,32,DRG,79.22,12.7,8.25,33.4
P2X3-594 Isl1-488 20x 1,32,DRG,73.03,11.11,9.21,32.26
P2X3-594 Isl1-488 20x 1,32,DRG,247.51,17.78,19.05,57.13
P2X3-594 Isl1-488 20x 1,32,DRG,109.67,14.29,10.79,38.68
P2X3-594 Isl1-488 20x 1,32,DRG,85.01,13.65,7.94,35.47
P2X3-594 Isl1-488 20x 1,32,DRG,100.01,13.33,10.79,37.1
P2X3-594 Isl1-488 20x 1,32,DRG,107.7,13.65,10.16,39.21
P2X3-594 Isl1-488 20x 1,32,DRG,109.51,14.29,9.52,38.99
P2X3-594 Isl1-488 20x 1,32,DRG,94.52,13.02,9.52,36.13
P2X3-594 Isl1-488 20x 1,32,DRG,132.15,13.02,13.02,41.65
P2X3-594 Isl1-488 20x 1,32,DRG,110.68,13.65,10.48,39.38
P2X3-594 Isl1-488 20x 1,32,DRG,109.63,11.43,12.06,37.84
P2X3-594 Isl1-488 20x 1,32,DRG,68.32,10.48,8.25,30.3
P2X3-594 Isl1-488 20x 1,32,DRG,146.97,19.05,9.84,49.6
P2X3-594 Isl1-488 20x 1,32,DRG,250.57,16.83,20,57.64
P2X3-594 Isl1-488 20x 1,32,DRG,164.74,14.29,14.92,46.42
P2X3-594 Isl1-488 20x 1,32,DRG,251.19,20,18.73,60.33
P2X3-594 Isl1-488 20x 1,32,DRG,211.03,21.9,15.24,56.82
P2X3-594 Isl1-488 20x 1,32,DRG,86.06,12.06,10.48,34.04
P2X3-594 Isl1-488 20x 1,32,DRG,129.53,13.97,11.75,41.7
P2X3-594 Isl1-488 20x 1,32,DRG,89.57,11.75,10.16,34.44
P2X3-594 Isl1-488 20x 1,32,DRG,96.45,12.7,9.52,36.38
P2X3-594 Isl1-488 20x 1,32,DRG,115.85,12.06,12.06,38.8
P2X3-594 Isl1-488 20x 1,32,DRG,148.51,16.51,12.38,45.96
P2X3-594 Isl1-488 20x 1,32,DRG,96.63,10.79,11.75,35.83
P2X3-594 Isl1-488 20x 1,32,DRG,138.41,13.97,13.02,42.96
P2X3-594 Isl1-488 20x 1,32,DRG,91.99,10.79,13.33,37.49
P2X3-594 Isl1-488 20x 1,32,DRG,103.71,9.84,16.19,40.66
P2X3-594 Isl1-488 20x 1,32,DRG,115.14,13.33,12.06,39.55
P2X3-594 Isl1-488 20x 1,32,DRG,115.22,12.06,13.65,39.9
P2X3-594 Isl1-488 20x 1,32,DRG,146.68,15.87,12.38,44.69
P2X3-594 Isl1-488 20x 1,32,DRG,60.44,9.21,8.57,27.99
P2X3-594 Isl1-488 20x 1,32,DRG,115.46,13.33,11.43,42.53
P2X3-594 Isl1-488 20x 1,32,DRG,99.01,13.65,10.16,37.81
P2X3-594 Isl1-488 20x 1,32,DRG,46.19,9.84,6.03,25.91
P2X3-594 Isl1-488 20x 1,32,DRG,79.22,12.7,8.25,33.4
P2X3-594 Isl1-488 20x 1,32,DRG,73.03,11.11,9.21,32.26
P2X3-594 Isl1-488 20x 1,32,DRG,247.51,17.78,19.05,57.13
P2X3-594 Isl1-488 20x 1,32,DRG,109.67,14.29,10.79,38.68
P2X3-594 Isl1-488 20x 1,32,DRG,85.01,13.65,7.94,35.47
P2X3-594 Isl1-488 20x 1,32,DRG,100.01,13.33,10.79,37.1
P2X3-594 Isl1-488 20x 1,32,DRG,107.7,13.65,10.16,39.21
P2X3-594 Isl1-488 20x 1,32,DRG,109.51,14.29,9.52,38.99
P2X3-594 Isl1-488 20x 1,32,DRG,94.52,13.02,9.52,36.13
P2X3-594 Isl1-488 20x 1,32,DRG,132.15,13.02,13.02,41.65
P2X3-594 Isl1-488 20x 1,32,DRG,110.68,13.65,10.48,39.38
P2X3-594 Isl1-488 20x 1,32,DRG,109.63,11.43,12.06,37.84
P2X3-594 Isl1-488 20x 1,32,DRG,68.32,10.48,8.25,30.3
P2X3-594 Isl1-488 20x 1,32,DRG,146.97,19.05,9.84,49.6
P2X3-594 Isl1-488 20x 1,32,DRG,250.57,16.83,20,57.64
P2X3-594 Isl1-488 20x 1,32,DRG,164.74,14.29,14.92,46.42
P2X3-594 Isl1-488 20x 1,32,DRG,251.19,20,18.73,60.33
P2X3-594 Isl1-488 20x 1,32,DRG,211.03,21.9,15.24,56.82
P2X3-594 Isl1-488 20x 1,32,DRG,86.06,12.06,10.48,34.04
P2X3-594 Isl1-488 20x 1,32,DRG,129.53,13.97,11.75,41.7
P2X3-594 Isl1-488 20x 1,32,DRG,89.57,11.75,10.16,34.44
P2X3-594 Isl1-488 20x 1,32,DRG,96.45,12.7,9.52,36.38
P2X3-594 Isl1-488 20x 1,32,DRG,115.85,12.06,12.06,38.8
P2X3-594 Isl1-488 20x 1,32,DRG,148.51,16.51,12.38,45.96
P2X3-594 Isl1-488 20x 1,32,DRG,96.63,10.79,11.75,35.83
P2X3-594 Isl1-488 20x 1,32,DRG,138.41,13.97,13.02,42.96
P2X3-594 Isl1-488 20x 1,32,DRG,91.99,10.79,13.33,37.49
P2X3-594 Isl1-488 20x 1,32,DRG,103.71,9.84,16.19,40.66
P2X3-594 Isl1-488 20x 1,32,DRG,115.14,13.33,12.06,39.55
P2X3-594 Isl1-488 20x 1,32,DRG,115.22,12.06,13.65,39.9
P2X3-594 Isl1-488 20x 1,32,DRG,146.68,15.87,12.38,44.69
P2X3-594 Isl1-488 20x 1,32,DRG,60.44,9.21,8.57,27.99
P2X3-594 Isl1-488 20x 1,32,DRG,115.46,13.33,11.43,42.53
P2X3-594 Isl1-488 20x 1,32,DRG,99.01,13.65,10.16,37.81
P2X3-594 Isl1-488 20x 1,32,DRG,46.19,9.84,6.03,25.91
P2X3-594 Isl1-488 20x 1,32,DRG,79.22,12.7,8.25,33.4
P2X3-594 Isl1-488 20x 1,32,DRG,73.03,11.11,9.21,32.26
P2X3-594 Isl1-488 20x 1,32,DRG,247.51,17.78,19.05,57.13
P2X3-594 Isl1-488 20x 1,32,DRG,109.67,14.29,10.79,38.68
P2X3-594 Isl1-488 20x 1,32,DRG,85.01,13.65,7.94,35.47
P2X3-594 Isl1-488 20x 1,32,DRG,100.01,13.33,10.79,37.1
P2X3-594 Isl1-488 20x 1,32,DRG,107.7,13.65,10.16,39.21
P2X3-594 Isl1-488 20x 1,32,DRG,109.51,14.29,9.52,38.99
P2X3-594 Isl1-488 20x 1,32,DRG,94.52,13.02,9.52,36.13
P2X3-594 Isl1-488 20x 1,32,DRG,132.15,13.02,13.02,41.65
P2X3-594 Isl1-488 20x 1,32,DRG,110.68,13.65,10.48,39.38
P2X3-594 Isl1-488 20x 1,32,DRG,109.63,11.43,12.06,37.84
P2X3-594 Isl1-488 20x 1,32,DRG,68.32,10.48,8.25,30.3
P2X3-594 Isl1-488 20x 1,32,DRG,146.97,19.05,9.84,49.6
P2X3-594 Isl1-488 20x 1,32,DRG,250.57,16.83,20,57.64
P2X3-594 Isl1-488 20x 1,32,DRG,164.74,14.29,14.92,46.42
P2X3-594 Isl1-488 20x 1,32,DRG,251.19,20,18.73,60.33
P2X3-594 Isl1-488 20x 1,32,DRG,211.03,21.9,15.24,56.82
P2X3-594 Isl1-488 20x 1,32,DRG,86.06,12.06,10.48,34.04
P2X3-594 Isl1-488 20x 1,32,DRG,129.53,13.97,11.75,41.7
P2X3-594 Isl1-488 20x 1,32,DRG,89.57,11.75,10.16,34.44
P2X3-594 Isl1-488 20x 1,32,DRG,96.45,12.7,9.52,36.38
P2X3-594 Isl1-488 20x 1,32,DRG,115.85,12.06,12.06,38.8
P2X3-594 Isl1-488 20x 1,32,DRG,148.51,16.51,12.38,45.96
P2X3-594 Isl1-488 20x 1,32,DRG,96.63,10.79,11.75,35.83
P2X3-594 Isl1-488 20x 1,32,DRG,138.41,13.97,13.02,42.96
P2X3-594 Isl1-488 20x 1,32,DRG,91.99,10.79,13.33,37.49
P2X3-594 Isl1-488 20x 1,32,DRG,103.71,9.84,16.19,40.66
P2X3-594 Isl1-488 20x 1,32,DRG,115.14,13.33,12.06,39.55
P2X3-594 Isl1-488 20x 1,32,DRG,115.22,12.06,13.65,39.9
P2X3-594 Isl1-488 20x 1,32,DRG,146.68,15.87,12.38,44.69
Tg 10x 2-A,Pre-hatch,TG,280.42,21.57,18.4,68.57
Tg 10x 2-A,Pre-hatch,TG,480.32,29.19,22.21,87.26
Tg 10x 2-A,Pre-hatch,TG,360.54,24.11,19.67,72.17
Tg 10x 2-A,Pre-hatch,TG,283.04,18.4,19.67,64.4
Tg 10x 2-A,Pre-hatch,TG,419.92,25.38,24.75,84.07
Tg 10x 2-A,Pre-hatch,TG,374.63,21.57,20.94,72.73
Tg 10x 2-A,Pre-hatch,TG,455.15,22.21,29.19,91.88
Tg 10x 2-A,Pre-hatch,TG,191.24,19.04,13.32,61.83
Tg 10x 2-A,Pre-hatch,TG,187.42,15.86,15.86,54.47
Tg 10x 2-A,Pre-hatch,TG,423.35,27.28,20.3,81.48
Tg 10x 2-A,Pre-hatch,TG,221.44,17.77,15.86,61.37
Tg 10x 2-A,Pre-hatch,TG,259.48,20.3,22.21,68.14
Tg 10x 2-A,Pre-hatch,TG,369.2,22.84,25.38,80.19
Tg 10x 2-A,Pre-hatch,TG,424.55,22.84,22.84,78.64
Tg 10x 2-A,Pre-hatch,TG,322.29,22.84,18.4,67.85
Tg 10x 2-A,Pre-hatch,TG,280.42,21.57,18.4,68.57
